CustomerID,Churn,Tenure,Gender,HourSpendOnApp,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Gender_encoded,MaritalStatus_encoded
50001,1,4.0,Female,3.0,2,Single,9,1,1.0,1.0,5.0,159.93,0,2
50002,1,9.0,Male,3.0,3,Single,7,1,0.0,1.0,0.0,120.9,1,2
50003,1,9.0,Male,2.0,3,Single,6,1,0.0,1.0,3.0,120.28,1,2
50004,1,0.0,Male,2.0,5,Single,8,0,0.0,1.0,3.0,134.07,1,2
50005,1,0.0,Male,3.0,5,Single,3,0,1.0,1.0,3.0,129.6,1,2
50006,1,0.0,Female,3.0,5,Single,2,1,4.0,6.0,7.0,139.19,0,2
50007,1,9.0,Male,2.0,2,Divorced,4,0,0.0,1.0,0.0,120.86,1,0
50008,1,9.0,Male,3.0,2,Divorced,3,1,2.0,2.0,0.0,122.93,1,0
50009,1,13.0,Male,3.0,3,Divorced,2,1,0.0,1.0,2.0,126.83,1,0
50010,1,9.0,Male,2.0,3,Single,2,0,1.0,1.0,1.0,122.93,1,2
50011,1,4.0,Female,2.0,3,Divorced,2,0,9.0,15.0,8.0,295.45,0,0
50012,1,11.0,Male,3.0,3,Single,10,1,0.0,1.0,0.0,153.81,1,2
50013,1,0.0,Male,2.0,3,Single,2,1,2.0,2.0,2.0,134.41,1,2
50014,1,0.0,Male,3.0,3,Divorced,1,1,0.0,1.0,0.0,133.88,1,0
50015,1,9.0,Male,3.0,2,Single,2,0,0.0,4.0,7.0,196.19,1,2
50016,1,9.0,Male,3.0,5,Married,5,1,1.0,1.0,2.0,120.73,1,1
50017,1,0.0,Female,3.0,2,Single,2,1,1.0,1.0,0.0,129.26,0,2
50018,1,0.0,Male,2.0,3,Single,2,1,1.0,1.0,3.0,157.44,1,2
50019,1,0.0,Male,3.0,3,Single,2,1,1.0,1.0,6.0,160.74,1,2
50020,1,19.0,Female,3.0,4,Divorced,10,1,1.0,4.0,3.0,149.63,0,0
50021,1,0.0,Male,3.0,3,Divorced,5,1,6.0,7.0,7.0,161.72,1,0
50022,1,20.0,Female,3.0,2,Divorced,2,0,11.0,15.0,6.0,203.12,0,0
50023,1,9.0,Male,2.0,3,Single,2,1,0.0,1.0,0.0,116.75,1,2
50024,1,0.0,Female,3.0,3,Divorced,4,1,1.0,2.0,2.0,145.59,0,0
50025,1,14.0,Male,2.0,2,Single,3,0,0.0,1.0,3.0,206.5,1,2
50026,1,0.0,Female,2.0,5,Single,8,0,1.0,1.0,4.0,142.0,0,2
50027,0,8.0,Male,3.0,4,Divorced,2,0,1.0,1.0,6.0,172.95,1,0
50028,0,9.0,Male,2.0,3,Divorced,3,1,0.0,4.0,5.0,123.06,1,0
50029,0,18.0,Male,2.0,4,Married,9,0,1.0,1.0,15.0,123.48,1,1
50030,0,5.0,Female,2.0,2,Single,2,0,2.0,3.0,7.0,189.98,0,2
50031,0,2.0,Male,2.0,3,Divorced,2,0,0.0,1.0,9.0,143.19,1,0
50032,0,0.0,Male,2.0,3,Divorced,3,0,1.0,1.0,0.0,161.32,1,0
50033,0,30.0,Female,3.0,4,Divorced,5,1,1.0,1.0,0.0,133.46,0,0
50034,0,13.0,Male,3.0,2,Divorced,8,0,2.0,2.0,11.0,208.55,1,0
50035,0,9.0,Female,3.0,3,Divorced,7,0,1.0,1.0,2.0,122.31,0,0
50036,0,0.0,Male,3.0,2,Divorced,2,0,0.0,2.0,2.0,123.23,1,0
50037,0,9.0,Male,2.0,4,Married,7,0,0.0,2.0,2.0,120.24,1,1
50038,0,1.0,Male,3.0,2,Divorced,2,0,0.0,1.0,2.0,127.13,1,0
50039,0,30.0,Male,2.0,2,Married,4,1,1.0,1.0,4.0,194.39,1,1
50040,0,0.0,Male,3.0,3,Married,2,1,0.0,1.0,1.0,125.66,1,1
50041,0,23.0,Female,2.0,4,Single,4,0,2.0,4.0,4.0,299.26,0,2
50042,0,14.0,Male,2.0,3,Married,5,0,1.0,1.0,8.0,124.51,1,1
50043,0,3.0,Female,2.0,2,Divorced,3,0,2.0,7.0,4.0,194.19,0,0
50044,0,11.0,Female,2.0,2,Single,5,0,1.0,1.0,1.0,186.86,0,2
50045,0,5.0,Male,3.0,3,Single,4,0,0.0,1.0,4.0,130.38,1,2
50046,0,0.0,Male,3.0,4,Divorced,1,1,1.0,1.0,1.0,130.58,1,0
50047,1,0.0,Female,3.0,5,Single,1,0,1.0,1.0,0.0,123.25,0,2
50048,0,9.0,Male,1.0,4,Single,5,0,4.0,7.0,2.0,120.88,1,2
50049,0,3.0,Male,3.0,5,Married,2,0,0.0,6.0,10.0,130.72,1,1
50050,0,18.0,Female,1.0,5,Married,5,1,0.0,1.0,3.0,150.06,0,1
50051,0,29.0,Female,3.0,5,Married,5,1,1.0,2.0,2.0,142.57,0,1
50052,0,6.0,Male,2.0,2,Single,1,0,0.0,1.0,2.0,125.0,1,2
50053,1,0.0,Male,2.0,2,Single,2,0,0.0,1.0,0.0,111.02,1,2
50054,0,19.0,Female,3.0,5,Married,2,0,4.0,15.0,7.0,204.53,0,1
50055,0,9.0,Female,3.0,2,Single,2,0,1.0,2.0,1.0,122.88,0,2
50056,0,4.0,Female,3.0,2,Divorced,9,1,1.0,1.0,2.0,139.29,0,0
50057,0,9.0,Female,3.0,4,Single,3,0,1.0,1.0,2.0,123.11,0,2
50058,1,4.0,Female,3.0,4,Single,2,1,0.0,1.0,2.0,131.4,0,2
50059,0,23.0,Male,2.0,3,Divorced,3,0,0.0,1.0,2.0,136.9,1,0
50060,0,26.0,Female,2.0,5,Married,2,0,1.0,1.0,3.0,144.5,0,1
50061,0,6.0,Female,3.0,4,Divorced,2,0,0.0,1.0,6.0,127.56,0,0
50062,0,13.0,Female,2.0,3,Divorced,2,0,1.0,9.0,9.0,290.33,0,0
50063,0,28.0,Male,3.0,4,Single,9,0,1.0,2.0,15.0,287.22,1,2
50064,0,7.0,Male,2.0,3,Divorced,2,0,0.0,1.0,9.0,195.47,1,0
50065,0,24.0,Female,3.0,4,Single,4,0,0.0,2.0,0.0,237.34,0,2
50066,0,25.0,Male,3.0,3,Divorced,1,0,1.0,11.0,9.0,299.99,1,0
50067,0,9.0,Female,2.0,4,Single,2,0,1.0,1.0,3.0,122.79,0,2
50068,1,0.0,Male,2.0,3,Divorced,4,1,1.0,1.0,1.0,159.16,1,0
50069,0,9.0,Male,2.0,2,Married,5,0,0.0,2.0,2.0,120.89,1,1
50070,0,18.0,Male,3.0,2,Divorced,10,0,1.0,11.0,8.0,267.92,1,0
50071,0,10.0,Male,3.0,5,Divorced,2,1,0.0,1.0,7.0,135.64,1,0
50072,0,8.0,Female,2.0,4,Single,6,0,1.0,1.0,2.0,144.25,0,2
50073,0,15.0,Female,2.0,3,Married,3,0,0.0,1.0,2.0,152.65,0,1
50074,0,11.0,Male,2.0,3,Divorced,10,0,0.0,1.0,0.0,165.53,1,0
50075,0,11.0,Male,2.0,2,Divorced,4,0,0.0,1.0,7.0,162.61,1,0
50076,0,0.0,Male,2.0,5,Divorced,6,0,0.0,2.0,0.0,142.98,1,0
50077,0,22.0,Male,3.0,2,Married,2,1,0.0,1.0,7.0,168.04,1,1
50078,0,7.0,Male,2.0,3,Married,2,1,2.0,2.0,0.0,138.15,1,1
50079,0,13.0,Male,3.0,2,Divorced,9,1,1.0,3.0,7.0,127.41,1,0
50080,1,1.0,Male,3.0,5,Divorced,8,1,0.0,1.0,0.0,166.73,1,0
50081,1,0.0,Female,2.0,2,Divorced,2,0,1.0,1.0,9.0,176.39,0,0
50082,0,0.0,Male,2.0,4,Married,2,1,0.0,2.0,2.0,123.28,1,1
50083,0,9.0,Female,3.0,2,Single,2,0,1.0,1.0,7.0,121.53,0,2
50084,0,13.0,Male,3.0,2,Divorced,10,0,1.0,1.0,2.0,148.76,1,0
50085,0,19.0,Male,3.0,5,Married,8,0,0.0,1.0,3.0,193.96,1,1
50086,1,0.0,Male,2.0,2,Divorced,2,0,7.0,9.0,8.0,204.0,1,0
50087,0,3.0,Male,2.0,3,Single,2,0,2.0,5.0,8.0,184.74,1,2
50088,0,0.0,Female,2.0,3,Single,2,0,1.0,1.0,7.0,199.81,0,2
50089,0,24.0,Male,2.0,4,Divorced,6,0,1.0,4.0,3.0,224.9,1,0
50090,1,0.0,Female,2.0,5,Single,6,1,1.0,1.0,4.0,126.57,0,2
50091,0,14.0,Female,3.0,2,Single,4,1,0.0,2.0,0.0,235.91,0,2
50092,1,0.0,Female,2.0,5,Single,6,0,0.0,1.0,1.0,166.96,0,2
50093,1,9.0,Male,2.0,3,Single,1,0,0.0,1.0,5.0,120.58,1,2
50094,0,18.0,Female,2.0,2,Single,7,0,12.0,12.0,8.0,188.65,0,2
50095,0,27.0,Female,2.0,5,Divorced,3,0,1.0,1.0,5.0,159.4,0,0
50096,0,9.0,Male,3.0,4,Single,9,0,0.0,3.0,7.0,159.14,1,2
50097,0,6.0,Female,2.0,4,Divorced,7,0,0.0,1.0,1.0,126.22,0,0
50098,0,10.0,Male,2.0,2,Married,2,1,0.0,1.0,3.0,221.85,1,1
50099,0,11.0,Male,3.0,3,Married,1,0,1.0,5.0,13.0,206.09,1,1
50100,0,4.0,Male,2.0,3,Divorced,1,0,1.0,1.0,4.0,143.45,1,0
50101,0,9.0,Male,3.0,2,Divorced,4,0,0.0,1.0,0.0,121.77,1,0
50102,0,10.0,Male,2.0,2,Married,5,0,1.0,5.0,8.0,0.0,1,1
50103,0,2.0,Female,2.0,2,Divorced,2,0,4.0,4.0,1.0,179.18,0,0
50104,0,8.0,Female,3.0,3,Single,2,0,1.0,1.0,8.0,187.89,0,2
50105,1,0.0,Male,2.0,2,Single,2,1,0.0,1.0,1.0,123.89,1,2
50106,0,25.0,Female,2.0,2,Single,8,0,0.0,2.0,2.0,132.12,0,2
50107,0,15.0,Male,2.0,2,Divorced,2,0,0.0,11.0,15.0,292.32,1,0
50108,0,9.0,Male,2.0,3,Divorced,9,0,2.0,2.0,2.0,122.67,1,0
50109,0,23.0,Female,3.0,2,Married,4,0,1.0,1.0,6.0,295.17,0,1
50110,1,0.0,Male,2.0,2,Divorced,6,1,0.0,1.0,4.0,124.36,1,0
50111,0,16.0,Female,3.0,2,Divorced,6,1,0.0,2.0,9.0,260.64,0,0
50112,1,0.0,Female,3.0,5,Divorced,8,0,1.0,1.0,7.0,127.07,0,0
50113,0,25.0,Male,3.0,3,Single,2,1,1.0,15.0,12.0,290.68,1,2
50114,0,5.0,Female,2.0,4,Divorced,3,0,1.0,1.0,2.0,139.31,0,0
50115,1,0.0,Male,3.0,3,Single,1,1,1.0,1.0,2.0,137.3,1,2
50116,0,9.0,Female,3.0,3,Married,8,0,0.0,1.0,2.0,122.32,0,1
50117,0,5.0,Male,3.0,2,Divorced,1,0,1.0,2.0,2.0,144.65,1,0
50118,0,14.0,Male,3.0,5,Married,3,0,1.0,1.0,0.0,130.72,1,1
50119,0,13.0,Male,3.0,2,Married,2,0,2.0,4.0,7.0,133.19,1,1
50120,0,18.0,Male,3.0,2,Divorced,1,0,1.0,1.0,7.0,292.02,1,0
50121,0,4.0,Male,3.0,3,Married,10,0,1.0,2.0,2.0,236.75,1,1
50122,0,6.0,Female,3.0,2,Divorced,2,0,0.0,1.0,2.0,129.11,0,0
50123,0,7.0,Male,2.0,5,Divorced,7,0,0.0,5.0,9.0,159.57,1,0
50124,0,10.0,Female,2.0,5,Divorced,3,0,1.0,1.0,2.0,139.2,0,0
50125,0,18.0,Male,3.0,3,Divorced,5,0,0.0,1.0,2.0,164.34,1,0
50126,1,0.0,Male,3.0,3,Married,7,0,1.0,1.0,0.0,200.48,1,1
50127,0,12.0,Female,3.0,3,Single,1,0,10.0,11.0,3.0,209.38,0,2
50128,0,2.0,Male,2.0,2,Single,2,0,0.0,1.0,5.0,123.4,1,2
50129,0,15.0,Female,2.0,5,Single,4,1,0.0,1.0,2.0,165.45,0,2
