CustomerID,Churn,Tenure,Gender,HourSpendOnApp,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Gender_encoded,MaritalStatus_encoded,recency_risk,order_rate,low_order_flag,cashback_per_month,coupon_usage_rate,low_engagement,dissatisfied,engagement_score,churn_risk_score
50001,1,4.0,Female,3.0,2,Single,9,1,1.0,1.0,5.0,159.93,0,2,0,0.2,1,31.986,0.5,0,1,2.6,0.45
50002,1,9.0,Male,3.0,3,Single,7,1,0.0,1.0,0.0,120.9,1,2,0,0.1,1,12.09,0.0,0,1,2.3000000000000003,0.45
50003,1,9.0,Male,2.0,3,Single,6,1,0.0,1.0,3.0,120.28,1,2,0,0.1,1,12.028,0.0,0,1,1.8000000000000003,0.45
50004,1,0.0,Male,2.0,5,Single,8,0,0.0,1.0,3.0,134.07,1,2,0,1.0,1,134.07,0.0,0,0,2.0,0.25
50005,1,0.0,Male,3.0,5,Single,3,0,1.0,1.0,3.0,129.6,1,2,0,1.0,1,129.6,0.5,0,0,2.0,0.25
50006,1,0.0,Female,3.0,5,Single,2,1,4.0,6.0,7.0,139.19,0,2,0,6.0,0,139.19,0.5714285714285714,0,1,4.200000000000001,0.2
50007,1,9.0,Male,2.0,2,Divorced,4,0,0.0,1.0,0.0,120.86,1,0,0,0.1,1,12.086,0.0,0,1,1.6,0.45
50008,1,9.0,Male,3.0,2,Divorced,3,1,2.0,2.0,0.0,122.93,1,0,0,0.2,1,12.293000000000001,0.6666666666666666,0,1,2.5,0.45
50009,1,13.0,Male,3.0,3,Divorced,2,1,0.0,1.0,2.0,126.83,1,0,0,0.07142857142857142,1,9.059285714285714,0.0,0,1,1.8,0.45
50010,1,9.0,Male,2.0,3,Single,2,0,1.0,1.0,1.0,122.93,1,2,0,0.1,1,12.293000000000001,0.5,0,0,1.5000000000000002,0.25
50011,1,4.0,Female,2.0,3,Divorced,2,0,9.0,15.0,8.0,295.45,0,0,0,3.0,0,59.089999999999996,0.5625,0,0,7.9,0.0
50012,1,11.0,Male,3.0,3,Single,10,1,0.0,1.0,0.0,153.81,1,2,0,0.08333333333333333,1,12.8175,0.0,0,1,2.6,0.45
50013,1,0.0,Male,2.0,3,Single,2,1,2.0,2.0,2.0,134.41,1,2,0,2.0,1,134.41,0.6666666666666666,0,1,2.0,0.45
50014,1,0.0,Male,3.0,3,Divorced,1,1,0.0,1.0,0.0,133.88,1,0,0,1.0,1,133.88,0.0,0,1,1.7000000000000002,0.45
50015,1,9.0,Male,3.0,2,Single,2,0,0.0,4.0,7.0,196.19,1,2,0,0.4,0,19.619,0.0,0,1,3.0000000000000004,0.2
50016,1,9.0,Male,3.0,5,Married,5,1,1.0,1.0,2.0,120.73,1,1,0,0.1,1,12.073,0.5,0,1,2.2,0.45
